,Mkt-RF,SMB,HML,RMW,CMA,RF
20180824,0.62,-0.08,-0.58,-0.3,-0.19,0.007
20180827,0.74,-0.62,-0.16,-0.21,-0.37,0.007
20180828,-0.01,-0.11,-0.24,0.1,-0.06,0.007
20180829,0.56,-0.14,-0.58,-0.15,-0.28,0.007
20180830,-0.41,0.23,-0.42,-0.22,-0.13,0.007
20180831,0.08,0.45,-0.38,0.15,-0.13,0.007
20180904,-0.11,-0.34,0.01,-0.05,-0.15,0.008
20180905,-0.41,-0.04,0.66,0.46,0.59,0.008
20180906,-0.44,-0.36,-0.24,0.42,0.33,0.008
20180907,-0.18,0.08,-0.21,0.03,0.05,0.008
20180910,0.23,0.08,-0.37,0.08,-0.25,0.008
20180911,0.37,-0.34,-0.24,-0.13,-0.39,0.008
20180912,0.03,-0.12,-0.23,0.04,0.54,0.008
20180913,0.45,-0.49,-0.4,0.04,-0.04,0.008
20180914,0.12,0.31,0.25,-0.11,-0.06,0.008
20180917,-0.71,-0.35,0.83,0.32,0.74,0.008
20180918,0.57,0.03,-0.48,-0.24,-0.22,0.008
20180919,0.06,-0.5,1.28,-0.45,-0.01,0.008
20180920,0.77,0.29,-0.22,0.07,-0.09,0.008
20180921,-0.13,-0.42,0.3,0.26,0.65,0.008
20180924,-0.31,-0.05,-0.9,-0.48,-0.29,0.008
20180925,-0.05,0.2,-0.38,-0.34,-0.07,0.008
20180926,-0.4,-0.48,-0.63,0.48,0.11,0.008
20180927,0.27,-0.34,-0.55,0.11,-0.34,0.008
20180928,-0.03,0.34,-0.2,0.11,0.18,0.008
20181001,0.16,-1.62,0.34,-0.12,0.04,0.008
20181002,-0.21,-0.94,0.59,0.13,0.36,0.008
20181003,0.2,0.89,0.51,-0.36,-0.21,0.008
20181004,-0.93,-0.8,1.57,0.13,0.77,0.008
20181005,-0.64,-0.41,0.38,-0.38,0.41,0.008
20181008,-0.17,-0.24,1.22,0.52,0.64,0.008
20181009,-0.18,-0.41,0.28,-0.51,0.22,0.008
20181010,-3.33,0.41,1.1,0.22,0.78,0.008
20181011,-1.96,0.37,-0.92,0.43,-0.54,0.008
20181012,1.38,-1.11,-1.74,0.07,-0.43,0.008
20181015,-0.48,1,0.51,0.37,0.49,0.008
20181016,2.24,0.57,-1.43,-0.24,-0.69,0.008
20181017,-0.08,-0.62,0.25,-0.24,0.17,0.008
20181018,-1.54,-0.53,0.42,-0.33,0.38,0.008
20181019,-0.25,-1.27,0.71,0.45,0.56,0.008
20181022,-0.38,0.36,-1.25,1.1,-0.17,0.008
20181023,-0.62,-0.18,-0.41,0.1,-0.09,0.008
20181024,-3.33,-0.83,0.77,0.31,1.25,0.008
20181025,1.93,0.31,-0.58,-0.19,-1.09,0.008
20181026,-1.65,0.59,0.35,-0.35,0.5,0.008
20181029,-0.77,-0.1,1.62,-0.01,0.97,0.008
20181030,1.66,0.45,0.08,0.37,0.32,0.008
20181031,1.22,-0.7,-0.74,-0.41,-0.95,0.008
20181101,1.29,1.22,-1.14,-0.24,-0.49,0.008
20181102,-0.53,0.85,0.67,-0.47,0.23,0.008
20181105,0.4,-0.88,1.55,-0.49,0.76,0.008
20181106,0.58,-0.15,0.03,0.3,0.2,0.008
20181107,2.11,-0.51,-1.06,-0.39,-0.81,0.008
20181108,-0.28,-0.17,0.26,0.37,0.33,0.008
20181109,-1.04,-0.85,0.41,0.63,0.66,0.008
20181112,-2.06,0.1,0.85,0.53,0.88,0.008
20181113,-0.13,-0.05,0.16,0.21,-0.3,0.008
20181114,-0.77,0.03,-0.29,0.59,0.1,0.008
20181115,1.18,0.31,-0.41,-0.83,-0.7,0.008
20181116,0.15,-0.02,-0.05,-0.78,0.18,0.008
20181119,-1.88,-0.39,2.3,0.21,1.23,0.008
20181120,-1.85,0.02,-0.53,-0.36,-0.31,0.008
20181121,0.51,0.95,-0.34,-0.34,0.01,0.008
20181123,-0.55,0.76,-0.59,0.29,-0.06,0.008
20181126,1.62,-0.69,-0.2,-0.41,-0.73,0.008
20181127,0.11,-1.06,0.26,0.6,0.13,0.008
20181128,2.42,0.31,-1.16,0.07,-0.93,0.008
20181129,-0.22,-0.21,-0.1,-0.49,0.04,0.008
20181130,0.78,-0.38,-0.43,0.24,-0.27,0.008
20181203,1.13,-0.1,-0.8,-0.24,-0.54,0.011
20181204,-3.45,-1.03,-0.21,-0.13,0.95,0.011
20181206,-0.16,-0.05,-1.05,0.14,-0.32,0.011
20181207,-2.36,0.27,1.32,-0.48,0.63,0.011
20181210,0.1,-0.36,-1.62,0.28,-0.31,0.011
20181211,-0.08,-0.15,-0.4,0.17,-0.07,0.011
20181212,0.68,0.5,-0.19,-0.23,-0.08,0.011
20181213,-0.26,-1.55,-0.19,0.2,0.04,0.011
20181214,-1.89,0.09,0.5,-0.21,0.62,0.011
20181217,-2.13,-0.12,1.09,0.26,0.17,0.011
20181218,-0.03,-0.04,-0.6,0.91,-0.47,0.011
20181219,-1.58,-0.6,0.04,-0.37,0.42,0.011
20181220,-1.62,-0.12,0.98,0.61,-0.08,0.011
20181221,-2.17,-0.53,0.77,0.12,0.64,0.011
20181224,-2.55,0.92,-0.48,-0.33,-0.33,0.011
20181226,5.06,-0.2,-1.02,-0.21,-1.08,0.011
20181227,0.78,-0.71,-0.12,-0.14,0.1,0.011
20181228,-0.03,0.75,0.26,-0.37,-0.06,0.011
20181231,0.9,-0.14,-0.46,-0.09,-0.13,0.011
20190102,0.23,0.74,1.11,-0.12,0.27,0.01
20190103,-2.45,0.48,1.2,-0.22,0.89,0.01
20190104,3.55,0.36,-0.7,-0.11,-0.59,0.01
20190107,0.94,0.87,-0.75,-0.72,-0.45,0.01
20190108,1.01,0.44,-0.63,0.31,-0.09,0.01
20190109,0.56,0.5,0.1,0.08,-0.2,0.01
20190110,0.42,0,-0.46,-0.06,-0.04,0.01
20190111,-0.01,0.2,0.22,0.23,0.25,0.01
20190114,-0.6,-0.45,0.94,0.24,-0.01,0.01
20190115,1.06,-0.14,-0.88,-0.3,-0.57,0.01
20190116,0.28,0.25,0.92,-0.11,-0.23,0.01
20190117,0.75,0.09,-0.24,0.06,0,0.01
20190118,1.29,-0.29,0.12,0.2,-0.27,0.01
20190122,-1.53,-0.35,0.32,0.26,0.34,0.01
20190123,0.15,-0.41,-0.13,0.35,0.29,0.01
20190124,0.23,0.48,-0.01,-0.15,-0.19,0.01
20190125,0.9,0.42,-0.35,-0.35,-0.58,0.01
20190128,-0.8,-0.07,0.63,0.28,0.16,0.01
20190129,-0.19,0.03,0.17,0.04,0.46,0.01
20190130,1.51,-0.35,-0.94,-0.24,-0.87,0.01
20190131,0.92,-0.06,-1.08,-0.37,-0.01,0.01
20190201,0.14,-0.16,0.43,-0.74,0.3,0.01
20190204,0.72,0.41,-0.47,0.19,-0.21,0.01
20190205,0.43,-0.12,-0.6,0.61,-0.34,0.01
20190206,-0.22,-0.03,0.07,-0.11,0.09,0.01
20190207,-0.93,-0.14,0.4,0.54,0.27,0.01
20190208,0.09,-0.08,-0.69,-0.34,-0.12,0.01
20190211,0.14,0.67,0.23,-0.09,-0.02,0.01
20190212,1.36,0.04,-0.16,-0.13,-0.28,0.01
20190213,0.28,0.06,0.07,0.12,0.23,0.01
20190214,-0.21,0.52,-0.58,0.41,-0.18,0.01
20190215,1.13,0.38,0.47,-0.21,0.01,0.01
20190219,0.19,0.31,0.3,0.03,0.22,0.01
20190220,0.19,0.29,0.55,0.01,-0.27,0.01
20190221,-0.37,-0.04,-0.22,0.57,0.13,0.01
20190222,0.65,0.39,-1.47,0.29,-0.61,0.01
20190225,0.15,-0.28,-0.18,-0.86,-0.5,0.01
