Date,Trading Returns (%)
2017-08-09,-0.7155133893271364
2017-08-10,-0.0
2017-08-11,1.1177631141286302
2017-08-14,0.33927877377483706
2017-08-15,-0.7687560773006679
2017-08-16,0.45683279910036323
2017-08-17,-0.944287134805849
2017-08-18,-0.025676971099721408
2017-08-21,-0.10624278348202268
2017-08-22,0.685919683454576
2017-08-23,-0.1296218111432249
2017-08-24,0.03943491471901463
2017-08-25,-0.17584004736065545
2017-08-28,-0.5090296951185032
2017-08-29,0.8262177136912426
2017-08-30,1.0890448320498622
2017-08-31,0.5507930811740465
2017-09-01,-0.2546496713534537
2017-09-05,-0.5758430336149034
2017-09-06,0.46695807674986084
2017-09-07,0.43705273172873005
2017-09-08,-0.587235005695356
2017-09-11,1.02686802020104
2017-09-12,2.6276953326391532
2017-09-13,-0.5770199902724297
2017-09-14,-0.8088391614211635
2017-09-15,-0.5751565084683792
2017-09-18,0.2790289059725559
2017-09-19,-0.2133270759642314
2017-09-20,1.5776034150451295
2017-09-21,3.5422423800046863
2017-09-22,-2.7290768233806286
2017-09-25,-0.9665334798834783
2017-09-26,-0.3307877146550119
2017-09-27,-0.06292569383708478
2017-09-28,0.7788344343247523
2017-09-29,0.04999809799443587
2017-10-02,0.08345369304486597
2017-10-03,0.29732826117863653
2017-10-04,0.7825026551479872
2017-10-05,2.476922820027849
2017-10-06,0.4969814075642601
2017-10-09,-0.11156100004840094
2017-10-10,-0.35092087902408026
2017-10-11,-0.11691935627786883
2017-10-12,-0.2958582970992977
2017-10-13,1.5109359158877453
2017-10-16,0.6819605717504394
2017-10-17,-0.6427826729751137
2017-10-18,-0.6070042934411267
2017-10-19,-0.9633370041497504
2017-10-20,-0.07026921221624147
2017-10-23,-0.6222916054786383
2017-10-24,0.7602242813744885
2017-10-25,-0.7403436820890711
2017-10-26,-1.5012484608747136
2017-10-27,2.716410639383887
2017-10-30,0.11040136375090417
2017-10-31,0.11010090456992087
2017-11-01,0.12262949593120911
2017-11-02,-0.3874102491656927
2017-11-03,0.5337259807454957
2017-11-06,0.23891992341223225
2017-11-07,-0.7166237251590377
2017-11-08,0.23733548104491464
2017-11-09,0.200222652955608
2017-11-10,-0.6842007812310775
2017-11-13,0.9794756442223626
2017-11-14,-0.4389332850452897
2017-11-15,-0.09204758626963165
2017-11-16,1.8328535706046496
2017-11-17,-0.9277910979435292
2017-11-20,-0.10004881274120654
2017-11-21,2.1137596159619925
2017-11-22,-0.11684124094110496
2017-11-24,0.9693392739829887
2017-11-27,0.6439083715484999
2017-11-28,0.4148416232877298
2017-11-29,-2.7560988475966925
2017-11-30,0.3580753550595283
2017-12-01,0.7126384074073084
2017-12-04,0.660079134369181
2017-12-05,-0.8947983014380063
2017-12-06,-1.6672978868555917
2017-12-07,1.3748407584112312
2017-12-08,1.9375229250647181
2017-12-11,-0.8909887999208443
2017-12-12,-1.8196535414395845
2017-12-13,0.4543382428856638
2017-12-14,0.29316559954877064
2017-12-15,0.2845248884385106
2017-12-18,0.5799273439160184
2017-12-19,0.17180244565501707
2017-12-20,-0.4399559857852768
2017-12-21,-0.10031772063961256
2017-12-22,-0.3562850019378542
2017-12-26,0.1681230083678413
2017-12-27,-0.11979342355375085
2017-12-28,0.4871377052071097
2017-12-29,-0.4025844211682765
2018-01-02,1.722697420713685
